tsne1,tsne2,label,code
-1.479245,-35.5475,Other,3
18.695885,-0.26605862,Other,3
10.743573,37.40686,Other,3
7.5318794,-25.279356,Other,3
-2.7450395,-16.985313,Other,3
-27.499687,16.701777,Other,3
26.18326,31.276588,Other,3
-27.092907,-4.2860126,Top-Multi,2
-29.452782,23.92614,Other,3
5.777101,34.9222,Other,3
24.414913,12.539296,Other,3
-14.7933035,-30.969995,Other,3
36.82931,16.794264,Other,3
-16.26115,-11.77711,Other,3
37.730793,-18.87261,Other,3
-36.925076,-7.328565,Other,3
7.5407634,41.35567,Other,3
-18.325321,-10.7533455,Top-Multi,2
-40.575912,-22.371422,Other,3
-12.282785,14.550859,Other,3
-30.215462,-13.162403,Other,3
-25.379477,-7.77896,Other,3
7.5889277,-10.789327,Other,3
-14.723152,41.816723,Top-Multi,2
4.082447,-25.373377,Other,3
23.389935,31.78563,Other,3
-2.634762,34.23947,Other,3
4.810673,23.37293,Other,3
19.869965,-8.786586,Other,3
-15.295342,-16.78555,Other,3
-7.3945513,1.6929902,Other,3
20.188156,-17.440401,Other,3
-17.291498,-5.2215533,Other,3
8.561379,-13.340731,Other,3
32.407692,-12.69086,Other,3
20.679401,6.187628,Other,3
-20.135723,-40.114407,Other,3
16.984762,-18.070486,Other,3
19.05133,38.97763,Other,3
30.744568,-8.071351,Top-Multi,2
-8.144881,-26.617172,Other,3
-21.140274,-28.817427,Other,3
-23.024433,-30.427866,Other,3
3.9032211,-14.56157,Top-Multi,2
-33.129948,-4.242005,Other,3
15.367103,9.400263,Other,3
-26.341736,29.220093,Other,3
-30.836441,-28.768368,Other,3
40.468864,11.283299,Other,3
-24.935215,-36.49272,Other,3
23.248644,-10.788555,Other,3
-23.289429,12.57819,Other,3
20.179222,-34.328808,Other,3
-31.951704,12.209107,Other,3
-17.804039,-29.766893,Other,3
-16.872396,-16.262142,Other,3
30.672539,-10.610189,Other,3
-31.394924,-31.118908,Other,3
32.33763,35.297585,Other,3
-24.020435,-2.7642744,Other,3
-10.950429,-28.152239,Other,3
35.255764,-4.9101195,Other,3
13.093996,7.6465025,Other,3
26.635647,-39.240334,Other,3
-21.660408,34.461704,Other,3
-11.102353,27.029062,Other,3
7.8427353,19.096468,Other,3
-17.542173,-19.375166,Other,3
17.445652,39.773357,Other,3
-38.35823,-24.574633,Other,3
7.4035354,36.22789,Other,3
1.8763373,28.153175,Top-Multi,2
43.700348,7.846929,Other,3
-23.037636,34.014095,Other,3
2.6738422,12.500703,Other,3
29.664782,-8.100083,Top-Multi,2
2.2450929,11.068001,Other,3
-26.791985,27.630747,Other,3
11.384546,-43.352943,Other,3
27.216366,-33.674953,Other,3
-2.0371747,-12.116493,Other,3
12.945652,-10.697266,Other,3
18.014662,32.123,Other,3
-16.945293,40.270744,Other,3
27.665472,24.25784,Other,3
33.39423,-27.403206,Other,3
-19.180624,-28.448677,Other,3
7.544439,-18.952946,Other,3
-34.70037,21.425644,Other,3
-10.552693,-13.692265,Top-Multi,2
-17.358807,-33.151466,Other,3
17.328524,-23.99335,Other,3
-27.432312,-34.028683,Other,3
-23.97756,-9.608521,Other,3
-3.848934,-1.1721711,Other,3
8.226502,46.570793,Other,3
17.299778,-1.7980838,Other,3
-39.81481,1.6757377,Other,3
-4.631857,22.160267,Other,3
12.995736,20.242466,Other,3
-16.117025,3.699182,Class1,0
-26.810759,-11.846694,Other,3
-23.600246,-5.3981767,Other,3
28.459814,-17.534035,Other,3
-27.470882,38.91074,Other,3
26.931667,33.383556,Other,3
3.4172788,-28.107548,Other,3
16.943491,38.502953,Other,3
-31.66857,-11.665479,Other,3
-5.7343516,37.494274,Other,3
18.652967,-42.929005,Other,3
-27.191422,11.116274,Other,3
-36.368896,-31.34869,Other,3
43.267113,22.614857,Other,3
-9.196582,0.3224903,Other,3
-26.694132,-31.698814,Other,3
-36.76909,0.32910007,Other,3
15.898427,-0.9342126,Top-Multi,2
3.7930691,-14.251959,Top-Multi,2
-9.690016,-17.397383,Top-Multi,2
-23.17969,-26.668207,Other,3
-24.780695,-31.588474,Other,3
-9.813682,31.591751,Other,3
27.4602,25.330652,Other,3
14.40828,-13.18782,Other,3
21.312122,-6.540877,Other,3
-19.916195,25.454838,Other,3
20.588337,-23.564655,Other,3
0.6880509,-20.815058,Other,3
40.87176,25.443275,Other,3
-23.93457,-35.89735,Other,3
14.41363,12.158604,Other,3
20.529928,42.355377,Top-Multi,2
14.366689,-38.000854,Other,3
-4.1417155,6.722324,Other,3
-35.01629,23.002369,Other,3
17.558487,43.310974,Other,3
-32.57724,-24.974335,Other,3
-16.53862,-32.475334,Other,3
25.7333,-15.065016,Other,3
26.454313,13.267687,Other,3
29.554502,7.082032,Other,3
10.648309,3.5603487,Other,3
-8.9194765,-5.52288,Other,3
-41.996777,-24.957718,Other,3
-1.7566131,-13.48496,Other,3
-28.42319,1.9341701,Top-Multi,2
0.0054254737,15.904307,Other,3
-20.11091,-29.795464,Other,3
35.830715,-22.973022,Top-Multi,2
-16.50625,31.03419,Other,3
-17.408806,19.017231,Other,3
-7.9744925,34.876587,Other,3
-29.625511,19.092304,Other,3
-1.3285782,23.202137,Other,3
-13.618228,-2.1353128,Other,3
-28.325947,29.021107,Other,3
-28.837725,-19.849178,Other,3
1.2587799,-25.205717,Other,3
-14.052379,-8.185616,Other,3
-39.09301,-17.298086,Other,3
27.599606,-15.624958,Other,3
-14.913634,21.645622,Other,3
-28.36582,-14.393364,Top-Multi,2
21.02159,-29.522337,Other,3
27.678665,23.403816,Other,3
-37.118786,11.656428,Other,3
-14.083541,-23.585882,Other,3
-16.309017,-32.460835,Other,3
14.154793,-41.951797,Other,3
-43.03321,5.8517685,Other,3
-1.2455556,15.343155,Other,3
6.63198,-21.511442,Other,3
24.3847,-16.610268,Other,3
6.114552,40.514957,Other,3
9.567594,8.728354,Other,3
-33.360126,5.356423,Other,3
-8.311086,-0.4910996,Other,3
41.131413,-16.335346,Other,3
19.541483,-36.65958,Other,3
-22.780283,-34.040623,Other,3
19.681744,38.55863,Other,3
-19.288948,35.079685,Other,3
2.4328291,14.045507,Other,3
-3.9145534,10.277603,Other,3
-8.034534,-35.660213,Other,3
18.772654,35.593872,Other,3
-13.518357,7.8436375,Other,3
0.17732371,50.759888,Other,3
27.112923,4.1378794,Other,3
-29.314215,-0.1462073,Other,3
25.558498,-33.093987,Other,3
-23.048256,8.290356,Other,3
-23.88998,-26.55729,Other,3
22.46727,2.1322381,Other,3
-42.13755,7.105048,Other,3
21.831139,-34.503582,Other,3
15.488177,-42.149445,Other,3
37.41,17.107203,Other,3
-22.825514,5.643375,Other,3
19.740868,42.438572,Other,3
-1.840235,36.192173,Other,3
-15.815067,22.532618,Other,3
35.68159,26.130678,Other,3
-9.760613,38.840546,Top-Multi,2
-17.965292,7.468629,Other,3
-34.074764,20.892612,Other,3
4.7101607,-32.10953,Top-Multi,2
-8.500516,-9.0485935,Other,3
23.75518,-38.30288,Other,3
8.801222,39.229504,Other,3
-11.215514,-28.192049,Top-Multi,2
9.117506,16.881603,Other,3
-2.156312,-23.630617,Other,3
25.936846,35.745296,Other,3
2.5622292,-28.359266,Other,3
-27.49067,16.673077,Other,3
-4.056498,1.6959829,Other,3
15.62504,43.966618,Other,3
-16.853823,-9.851236,Top-Multi,2
18.003618,-14.946017,Other,3
14.992182,38.63413,Other,3
-31.792313,30.222517,Top-Multi,2
-32.21044,-7.1553392,Other,3
32.874897,18.382544,Other,3
36.728924,-21.87408,Other,3
-40.096172,-33.598076,Other,3
6.4928894,-29.580454,Other,3
-4.4882646,45.986607,Top-Multi,2
-14.781673,-6.203427,Top-Multi,2
-4.972807,22.117046,Other,3
5.359626,-36.49796,Other,3
32.81385,3.775598,Other,3
19.11957,41.00226,Other,3
36.43619,-25.389343,Other,3
23.170929,-21.000467,Other,3
-13.757009,36.04105,Top-Multi,2
-30.871126,-12.069747,Other,3
38.176582,-0.1650337,Top-Multi,2
-40.882656,-24.374926,Other,3
1.2449497,8.880511,Other,3
17.18556,44.72795,Other,3
4.963149,39.878147,Other,3
-18.296371,11.350968,Other,3
21.40516,-36.762604,Other,3
-36.334988,-5.384879,Other,3
-50.060684,-2.073003,Other,3
23.50496,7.9960093,Other,3
-35.50714,-8.569736,Other,3
40.173172,-3.109755,Other,3
-3.6859367,3.6498823,Other,3
-8.919195,-20.986069,Other,3
15.69669,17.240227,Other,3
-3.8821096,-39.2921,Other,3
-22.198912,21.4957,Top-Multi,2
2.3957503,-35.057037,Other,3
21.787886,15.888952,Other,3
1.5752507,24.303217,Other,3
-10.710782,32.717056,Other,3
10.4703665,45.521408,Other,3
-14.080331,35.39732,Top-Multi,2
-34.51401,14.32405,Other,3
7.0239058,7.9245715,Other,3
-3.7752242,12.910145,Top-Multi,2
-4.055364,10.0037565,Other,3
23.429728,20.37699,Other,3
-41.131844,-21.684767,Other,3
-4.3802834,-3.975211,Other,3
-48.882607,-1.1436859,Other,3
-1.4805981,-43.341,Other,3
-17.709484,22.076982,Other,3
-18.64506,13.320808,Other,3
0.6006113,-40.4356,Other,3
-6.991459,-29.17862,Other,3
16.594906,-22.901888,Other,3
-7.780024,-0.55533415,Other,3
-17.981468,20.9667,Other,3
-1.381084,-30.564428,Other,3
33.0371,14.257252,Top-Multi,2
-23.095848,-9.705332,Other,3
11.5156555,42.903164,Other,3
32.976177,-24.22084,Other,3
1.1136253,-33.084244,Other,3
3.689502,18.295654,Other,3
28.593254,-31.215483,Other,3
-11.903963,-26.294334,Other,3
23.850384,-6.3039007,Other,3
9.409223,-36.973286,Other,3
-16.208447,1.1981639,Other,3
22.638699,-34.61675,Other,3
16.283379,-42.935192,Other,3
-16.655489,-27.926489,Other,3
-6.7587557,-14.219341,Other,3
-41.13114,0.75059426,Other,3
-38.525955,-31.804195,Other,3
23.85082,-4.1601725,Other,3
-20.157948,36.305267,Other,3
37.506107,-24.73263,Other,3
13.862548,-20.318682,Other,3
-29.064005,-11.654248,Other,3
-35.120472,18.136732,Other,3
14.532192,46.84228,Other,3
38.134167,-18.18384,Other,3
19.601828,35.31928,Other,3
-31.330324,-29.836834,Other,3
-14.616696,-15.1294775,Other,3
24.111078,12.486737,Other,3
15.916748,39.577908,Other,3
-37.513527,7.77624,Other,3
-30.482203,31.583311,Top-Multi,2
6.1881847,10.270997,Other,3
9.970124,-25.191526,Other,3
15.966643,16.812395,Other,3
6.629427,30.990896,Other,3
0.6042007,-2.3981166,Other,3
19.522026,7.0576916,Other,3
12.464635,-27.417097,Other,3
-4.86899,-10.244998,Other,3
-7.600184,-2.5648272,Other,3
-6.7168136,-4.5702906,Other,3
-0.29384923,-27.249914,Other,3
19.527893,-17.047314,Other,3
-19.311003,-6.2858744,Other,3
-22.249655,1.3391687,Other,3
-33.71666,-8.998535,Other,3
-30.088568,0.06661161,Other,3
19.373749,-13.723622,Other,3
-19.875341,37.699963,Other,3
21.609304,-7.210576,Other,3
-13.022561,-18.553873,Other,3
-36.3719,-3.729412,Other,3
6.1238437,44.068195,Other,3
24.57968,-2.2889087,Other,3
24.81436,-8.387155,Top-Multi,2
-24.312365,-41.08302,Other,3
22.466831,13.304468,Other,3
22.844349,-8.6728115,Other,3
-23.081171,17.44357,Top-Multi,2
-12.459463,-4.2991886,Other,3
-14.174368,0.6683261,Other,3
1.0563653,30.495836,Other,3
-14.980061,4.5477653,Other,3
1.2212719,13.493857,Other,3
14.998941,-6.1687856,Other,3
9.9424715,-6.551405,Top-Multi,2
-9.41702,-15.824735,Other,3
10.974639,-29.902658,Other,3
-44.03266,10.173219,Other,3
34.947475,30.94695,Other,3
-6.3279314,-27.501537,Other,3
-31.09712,30.364891,Other,3
-21.87754,-37.79324,Other,3
-0.76070774,18.29316,Other,3
2.6595626,-15.882549,Other,3
-23.786182,28.583956,Top-Multi,2
-29.523714,28.48321,Other,3
39.00825,17.629326,Other,3
20.116562,-10.826581,Other,3
31.617714,0.3836894,Other,3
10.720359,1.21675,Other,3
8.623262,41.81557,Other,3
12.934426,37.083942,Other,3
-11.197622,31.502869,Other,3
-32.03258,-17.893522,Other,3
6.135939,-8.273388,Other,3
-4.9549494,-6.07077,Top-Multi,2
3.9340153,-18.862068,Other,3
-31.01502,16.081923,Other,3
-31.02501,10.156529,Other,3
-0.030053722,-17.344166,Other,3
1.5050547,-25.504532,Other,3
-16.704638,14.12326,Other,3
-24.08968,-32.490383,Other,3
14.221711,-21.792173,Top-Multi,2
-13.41501,-11.955908,Top-Multi,2
-30.374628,-14.113879,Other,3
-4.2028875,33.003616,Other,3
9.659285,54.554016,Other,3
-2.5443268,8.232574,Other,3
15.209861,-3.3017972,Other,3
18.412214,23.965548,Other,3
24.326948,-39.109867,Other,3
-6.112981,35.452232,Other,3
37.098736,18.620106,Other,3
-2.4161103,-27.8046,Top-Multi,2
-11.836958,-10.064272,Other,3
-38.407276,-26.288307,Other,3
22.287956,3.354553,Top-Multi,2
4.00066,-3.745054,Other,3
24.22499,25.85674,Other,3
11.200306,35.60787,Top-Multi,2
-34.658413,13.3464575,Other,3
45.545204,-12.720474,Other,3
44.379524,-16.803867,Other,3
39.38691,24.657465,Other,3
-14.932494,32.85924,Other,3
-7.2953205,-47.03496,Other,3
29.032198,-10.739851,Other,3
-31.681152,-11.623776,Other,3
14.458888,39.67589,Other,3
-18.35677,-4.1538606,Other,3
17.405806,24.019495,Other,3
-30.798588,8.587441,Other,3
-24.72914,23.254759,Other,3
9.353529,42.826786,Other,3
14.960457,12.90035,Other,3
-14.805241,33.38498,Other,3
-20.349272,-10.13087,Other,3
2.802312,-42.10371,Top-Multi,2
12.448923,43.538105,Other,3
20.736946,40.33436,Top-Multi,2
3.397333,-22.988607,Other,3
19.53568,40.114,Other,3
-7.0254474,-35.55898,Other,3
21.970697,13.710625,Other,3
-36.02132,-7.352639,Other,3
-18.59444,28.878971,Other,3
11.711796,-4.8366227,Other,3
-2.009128,-5.1614423,Other,3
-40.17444,3.0405746,Other,3
31.125322,4.3422594,Top-Multi,2
30.105675,-5.191517,Other,3
15.449194,-1.2840036,Top-Multi,2
20.198586,-12.773662,Other,3
16.79184,-43.392776,Other,3
-36.5979,19.970516,Other,3
8.635489,-2.624657,Other,3
5.2283854,-10.1304035,Other,3
15.124083,44.71805,Other,3
-1.3858414,-49.09917,Other,3
-17.221571,-13.174425,Other,3
-23.42451,38.184803,Other,3
-41.059776,5.859459,Other,3
11.716812,-4.7991548,Other,3
0.9995688,0.68480825,Other,3
15.20692,28.018198,Other,3
21.223124,-27.105892,Other,3
23.548782,12.676225,Other,3
40.28802,10.718087,Other,3
-20.688501,38.26753,Other,3
20.478306,36.29585,Other,3
0.5962247,12.220981,Other,3
16.596243,-34.91184,Other,3
-39.76824,-12.535468,Other,3
45.835594,-16.581049,Other,3
-32.734695,10.828044,Other,3
-44.521442,-20.796604,Other,3
-9.422418,19.162134,Other,3
38.619095,7.234826,Other,3
14.735573,41.15543,Other,3
1.820973,0.73141795,Top-Multi,2
-3.1184866,-36.541832,Other,3
12.691898,32.356342,Other,3
14.264496,16.222628,Class1,0
-11.885552,1.2585422,Other,3
38.2066,10.571014,Other,3
-10.697982,17.147991,Other,3
-12.953167,-9.051684,Other,3
28.05411,-15.742186,Other,3
26.254362,39.421852,Other,3
-44.949306,-23.335415,Other,3
30.099642,0.5541796,Other,3
-11.9548025,22.972124,Other,3
13.275191,15.091223,Other,3
8.046967,19.060217,Other,3
21.385786,-14.025082,Other,3
-40.99981,-16.725819,Other,3
-34.120495,-7.0516844,Other,3
-14.649581,-38.639755,Other,3
-21.634007,-1.171854,Other,3
-0.8836603,11.690413,Other,3
19.319437,36.847363,Other,3
27.614853,-5.8447766,Other,3
-15.958891,-22.908531,Other,3
31.810408,37.78348,Top-Multi,2
-42.664963,-0.26487806,Other,3
43.91881,-16.326666,Other,3
17.420547,42.333794,Other,3
20.831915,17.78246,Other,3
7.53464,20.168074,Other,3
20.963526,28.099487,Other,3
-33.93161,-34.75624,Class1,0
11.975336,-17.971767,Top-Multi,2
-8.1995735,32.18053,Other,3
-3.919751,3.7344146,Other,3
27.554682,-18.594378,Other,3
9.723696,14.476621,Other,3
35.36432,29.963581,Other,3
-20.493216,-12.430037,Top-Multi,2
13.247979,38.663845,Other,3
21.050224,47.09977,Other,3
31.080982,38.40344,Other,3
23.251183,8.472637,Other,3
12.603169,-21.846441,Other,3
17.751467,37.143543,Other,3
25.440718,-20.356575,Other,3
14.246454,-18.592058,Other,3
-34.261135,-7.7091837,Other,3
13.500149,6.555364,Other,3
18.317144,-6.812866,Other,3
-2.9735205,-0.2786149,Other,3
-27.56674,-6.7713223,Other,3
0.32386822,-34.696667,Other,3
13.31464,-15.435209,Other,3
18.483042,-16.319267,Other,3
1.1635445,30.44892,Top-Multi,2
-40.080067,-9.335025,Other,3
-20.717892,4.889711,Other,3
16.276297,11.476439,Other,3
-14.228376,23.597914,Other,3
-37.711838,-23.986744,Other,3
15.567432,32.357136,Other,3
39.77233,-0.3897867,Other,3
22.298134,41.075478,Other,3
24.305002,-19.001947,Other,3
5.543021,-13.263414,Other,3
-41.935925,17.655231,Other,3
42.436646,-18.420113,Other,3
5.3416944,-35.02496,Other,3
6.900182,-7.3955827,Other,3
-31.211523,-28.629599,Other,3
0.569634,35.72493,Other,3
28.237421,-2.1743255,Top-Multi,2
-8.9239855,45.210804,Other,3
20.589243,49.37925,Top-Multi,2
-24.086256,0.6222746,Other,3
9.686263,6.2459784,Other,3
24.528313,3.6067736,Other,3
27.77521,-34.48249,Other,3
24.121729,25.916578,Other,3
-10.764443,0.43048042,Other,3
34.205765,12.757662,Other,3
-25.22937,31.115301,Other,3
44.256622,7.744145,Other,3
-19.45993,-34.000854,Other,3
1.6154333,-9.626967,Top-Multi,2
27.630392,-18.618994,Other,3
40.207874,12.597634,Other,3
4.421725,-29.481777,Other,3
-34.268555,20.693373,Other,3
40.66643,-21.6751,Other,3
-0.18540914,-3.735713,Other,3
26.893566,-17.263178,Other,3
23.672907,-33.382805,Other,3
-13.852722,13.196527,Other,3
25.82928,-9.00064,Other,3
-13.021971,21.551535,Other,3
-10.3434925,-20.878883,Other,3
5.282639,25.497276,Other,3
-31.417952,-40.79969,Other,3
-1.7436515,-44.68885,Top-Multi,2
-14.567606,-18.434206,Other,3
-14.980588,21.395517,Other,3
2.2069845,-27.929049,Other,3
25.737148,-8.293904,Other,3
-1.864064,42.420807,Other,3
-42.75043,12.30481,Other,3
-11.87153,-36.13357,Other,3
-24.751856,-41.758144,Other,3
20.809673,-27.62364,Other,3
18.807322,13.622295,Top-Multi,2
8.0629635,-40.949425,Other,3
28.020145,-0.7679679,Other,3
-41.044853,-27.836456,Other,3
11.489458,40.868973,Other,3
17.762657,14.831126,Top-Multi,2
-4.803262,5.2467546,Other,3
20.778467,15.0546,Other,3
-25.779734,-19.119347,Other,3
27.0441,-22.657957,Other,3
42.56498,14.5566025,Other,3
-14.72193,-18.754612,Top-Multi,2
-21.333727,-4.331785,Other,3
38.730713,-25.265911,Top-Multi,2
2.997014,-7.544607,Other,3
14.994811,21.608324,Other,3
-32.6372,20.33616,Other,3
31.793238,24.08865,Other,3
12.67178,23.432816,Other,3
-12.5149,26.455774,Other,3
27.144909,-7.9474463,Other,3
-18.184927,-16.20308,Other,3
30.5387,-12.88276,Other,3
32.672554,18.616213,Other,3
0.32385913,-30.13584,Other,3
20.150677,-4.319013,Other,3
24.31472,-39.37456,Other,3
-40.499046,7.4672,Other,3
23.932398,20.252031,Other,3
36.166195,-21.088264,Top-Multi,2
-1.5689347,30.101595,Other,3
2.2850077,-18.32876,Other,3
44.822098,-14.793329,Other,3
-32.16679,-25.388165,Other,3
-49.77582,-11.003853,Other,3
23.486929,-6.5317063,Top-Multi,2
-15.70486,20.646132,Other,3
-10.724638,25.374004,Other,3
6.246121,11.926343,Other,3
-7.8080254,40.988052,Other,3
42.78336,-0.12160245,Other,3
19.582918,-32.70219,Other,3
27.623722,-12.302734,Other,3
-33.204052,-33.776917,Class1,0
-16.217676,31.398932,Other,3
6.2712984,39.268536,Other,3
-28.425102,1.132007,Other,3
2.9108307,8.043371,Other,3
-16.94809,-7.380953,Other,3
21.89556,23.89536,Other,3
-41.779427,-31.792582,Other,3
46.931602,-3.8868597,Top-Multi,2
20.778599,-7.861961,Other,3
14.604596,39.662426,Other,3
-26.726,-30.162716,Other,3
26.834494,3.8925037,Other,3
5.0752106,38.36244,Other,3
-16.074768,38.58689,Top-Multi,2
4.060037,-4.370426,Other,3
-32.405247,-19.93447,Other,3
-10.502701,49.60593,Other,3
-24.867323,36.28758,Class1,0
-7.9488206,37.954575,Other,3
-10.861774,22.460499,Other,3
17.919323,3.9518046,Other,3
13.701247,-26.548494,Other,3
37.346527,17.147797,Other,3
-40.89535,12.454696,Other,3
-9.151443,-21.13403,Other,3
10.626459,-33.52682,Other,3
17.78847,-11.061045,Other,3
-29.257893,-5.17346,Other,3
-36.129425,-5.9128075,Other,3
4.0697904,0.06569236,Top-Multi,2
-19.922226,-6.4123683,Other,3
21.792887,39.361538,Top-Multi,2
-16.642342,41.60647,Top-Multi,2
0.43756682,3.4672549,Top-Multi,2
16.65202,-26.20881,Other,3
-23.67888,34.107014,Other,3
10.111286,31.343945,Other,3
-25.556374,7.4284744,Other,3
35.07933,-12.191263,Other,3
-15.827401,-21.531702,Other,3
-22.179441,-22.819983,Other,3
-27.408672,-11.994047,Other,3
-0.16477942,-8.053057,Other,3
-23.053286,33.482292,Other,3
12.746861,19.704552,Other,3
20.066813,-18.436163,Other,3
5.0920115,-10.390025,Other,3
4.477362,2.2431798,Other,3
-21.456913,34.3724,Other,3
31.59192,23.638721,Other,3
36.208908,-15.5943575,Other,3
-10.205993,30.08412,Other,3
-32.623035,16.156874,Other,3
-40.377625,2.9455168,Other,3
16.478199,-37.573273,Other,3
41.165283,9.066212,Other,3
-25.643772,-34.927597,Other,3
0.7688642,17.199993,Other,3
40.527485,4.015355,Other,3
-40.201607,-25.743914,Class1,0
-9.16118,39.709583,Other,3
-6.029696,-20.290405,Other,3
17.968489,12.158177,Other,3
7.9662337,-46.43468,Other,3
15.214483,-16.282667,Other,3
-34.32889,20.724651,Other,3
-7.9011936,-6.006258,Other,3
-5.653021,33.60024,Other,3
-16.622091,8.252673,Other,3
7.646517,-14.619196,Other,3
22.85135,19.216665,Other,3
-8.109317,32.203804,Top-Multi,2
23.50005,-30.919884,Other,3
-15.06182,-12.42603,Top-Multi,2
23.234886,39.049423,Top-Multi,2
23.927485,-19.285828,Other,3
-42.688293,-31.96069,Other,3
16.400925,45.91042,Other,3
-35.53433,-28.04948,Other,3
17.865297,-21.752834,Other,3
-40.07334,21.88199,Other,3
37.31971,17.937754,Other,3
-22.076078,22.045467,Other,3
14.179073,-10.523035,Other,3
-3.8549085,37.27044,Other,3
-13.338112,-23.864613,Other,3
7.533956,38.016945,Other,3
-6.1661096,15.225923,Top-Multi,2
-8.964262,-33.77039,Other,3
-12.950656,29.431316,Other,3
-14.927615,-34.983074,Other,3
4.20586,12.507542,Other,3
1.0486611,-38.375248,Top-Multi,2
-8.083214,38.75492,Other,3
-5.543745,-27.35486,Other,3
12.810866,-23.863924,Other,3
-33.034645,23.000093,Other,3
16.566391,43.09801,Other,3
32.09046,25.010628,Other,3
-27.30739,-4.433838,Other,3
30.383263,-9.876599,Other,3
38.79691,-0.21434258,Top-Multi,2
19.139473,-22.574747,Other,3
-24.529566,32.84143,Other,3
24.55351,45.28741,Other,3
-27.481329,-29.784006,Other,3
25.650675,-26.943245,Other,3
-34.826473,-6.5947456,Other,3
-6.9877505,3.850311,Other,3
19.38093,43.101826,Other,3
-44.305786,8.343871,Other,3
14.530302,-25.2579,Other,3
-17.487474,-35.988743,Other,3
-6.180245,37.0313,Top-Multi,2
-0.41780716,-30.59358,Other,3
24.723303,-36.97792,Other,3
-8.552277,9.038874,Other,3
28.629492,-14.202203,Other,3
3.2547114,28.850079,Other,3
-2.0242906,16.212133,Other,3
39.38236,15.190407,Other,3
17.341677,-17.037066,Top-Multi,2
-1.5251617,-1.9374876,Top-Multi,2
24.85999,29.309734,Top-Multi,2
4.1976967,36.23553,Other,3
-16.791851,-44.183956,Other,3
-19.907368,1.0731419,Other,3
-2.2058125,-24.160757,Other,3
-16.004343,5.4808197,Top-Multi,2
-29.311314,-2.1043873,Other,3
-34.09615,-21.638672,Other,3
-4.528005,16.755367,Other,3
33.90978,44.642048,Other,3
-9.565814,-7.490732,Top-Multi,2
16.55743,-15.669901,Other,3
-20.955091,26.07066,Other,3
17.44689,-41.843685,Other,3
39.50334,10.652718,Other,3
22.737438,37.0822,Other,3
-42.702686,-8.225375,Other,3
15.315629,-8.767142,Top-Multi,2
-46.015274,-15.885534,Other,3
-27.314621,30.958712,Other,3
7.344477,41.655018,Other,3
25.21673,-43.519764,Other,3
5.231105,-8.013946,Other,3
-33.016155,22.036804,Other,3
-9.428142,-13.017477,Other,3
-24.582342,-8.7417555,Other,3
-19.271862,-15.086359,Other,3
-43.387062,6.86844,Other,3
-14.623598,-10.602063,Other,3
-14.522219,-20.682444,Other,3
11.075273,40.720367,Other,3
26.86755,-14.679438,Other,3
6.6664715,27.8945,Other,3
-21.24204,37.04965,Other,3
44.133266,-15.435945,Other,3
3.3442454,41.012367,Other,3
0.48977962,-39.878998,Other,3
33.005756,-24.273777,Top-Multi,2
-28.048397,-19.209457,Other,3
